297,"7b","JAR","BI","533",1,2,,
297,"7b","JAR","BI","538",4,1,,
298,"7b","GRE","PH","Ph 2",2,4,,
298,"7b","GRE","PH","Ph 1",5,1,,
299,"7b","MAY","KU","Ku 1",2,1,,
299,"7b","MAY","KU","Ku 1",3,5,,
301,"7c","KLU","D","137",1,3,,
301,"7c","KLU","D","137",3,5,,
301,"7c","KLU","D","137",4,1,,
302,"7c","JOP","GE","137",1,2,,
302,"7c","JOP","GE","137",4,4,,
303,"7c","SLL","M","137",2,2,,
303,"7c","SLL","M","137",4,2,,
303,"7c","SLL","M","137",5,1,,
304,"7c","JAN","BI","538",2,4,,
304,"7c","JAN","BI","538",5,3,,
305,"7c","HOM","CH","537",2,3,,
305,"7c","HOM","CH","537",5,2,,
306,"7c","SLL","PH","Ph 1",3,1,,
306,"7c","SLL","PH","Ph 1",5,4,,
307,"7c","NIE","E5","137",1,4,,
307,"7c","NIE","E5","137",2,5,,
307,"7c","NIE","E5","137",3,3,,
308,"7c","LAS","SP","gr SpH",2,1,,
308,"7c","LAS","SP","gr SpH",4,3,,
309,"7c","SLL","ORI","137",3,4,,
310,"8a","SLF","D","113",2,4,,
310,"8a","SLF","D","113",3,2,,
310,"8a","SLF","D","113",5,2,,
311,"8a","SNL","PK","113",3,3,,
311,"8a","SNL","PK","113",5,5,,
312,"8a","SNL","M","113",2,2,,
312,"8a","SNL","M","113",4,1,,
312,"8a","SNL","M","113",5,3,,
313,"8a","HLL","BI","538",1,1,,
313,"8a","HLL","BI","538",4,5,,
314,"8a","HIN","CH","537",1,5,,
314,"8a","HIN","CH","532",3,4,,
315,"8a","KEU","E5","113",1,4,,
315,"8a","KEU","E5","113",2,5,,
315,"8a","KEU","E5","113",4,2,,
316,"8a","WÖR","MU","Mu 1",1,3,,
317,"8a","SLF","ER","113",3,5,,
317,"8a","SLF","ER","113",5,1,,
318,"8a","GÖB","SP","gr SpH",1,2,,
318,"8a","GÖB","SP","gr SpH",3,1,,
319,"8a","HRM","F6","113",2,1,,
319,"8a","HRM","F6","113",4,3,,
319,"8a","HRM","F6","113",5,4,,
319,"8b","ALV","F6","114",2,1,,
319,"8b","ALV","F6","114",4,3,,
319,"8b","ALV","F6","114",5,4,,
319,"8c","KAN","F6","123",2,1,,
319,"8c","KAN","F6","123",4,3,,
319,"8c","KAN","F6","123",5,4,,
319,"8a","BEM","L6","222",2,1,,
319,"8a","BEM","L6","222",4,3,,
319,"8a","BEM","L6","222",5,4,,
319,"8c","BEM","L6","222",2,1,,
319,"8c","BEM","L6","222",4,3,,
319,"8c","BEM","L6","222",5,4,,
319,"8b","PJU","L6","137",2,1,,
319,"8b","PJU","L6","137",4,3,,
319,"8b","PJU","L6","137",5,4,,
320,"8a","ALV","S8","114",2,3,,
320,"8a","ALV","S8","114",4,4,,
320,"8b","ALV","S8","114",2,3,,
320,"8b","ALV","S8","114",4,4,,
320,"8c","ALV","S8","114",2,3,,
320,"8c","ALV","S8","114",4,4,,
320,"8a","JAR","NW","538",2,3,,
320,"8a","JAR","NW","538",4,4,,
320,"8b","JAR","NW","538",2,3,,
320,"8b","JAR","NW","538",4,4,,
320,"8c","JAR","NW","538",2,3,,
320,"8c","JAR","NW","538",4,4,,
320,"8a","KOH","PoWi","113",2,3,,
320,"8a","KOH","PoWi","113",4,4,,
320,"8b","KOH","PoWi","113",2,3,,
320,"8b","KOH","PoWi","113",4,4,,
320,"8c","KOH","PoWi","113",2,3,,
320,"8c","KOH","PoWi","113",4,4,,
320,"8a","HNZ","IF","PC1",2,3,,
320,"8a","HNZ","IF","PC1",4,4,,
320,"8b","HNZ","IF","PC1",2,3,,
320,"8b","HNZ","IF","PC1",4,4,,
320,"8c","HNZ","IF","PC1",2,3,,
320,"8c","HNZ","IF","PC1",4,4,,
321,"8b","KAT","D","114",1,1,,
321,"8b","KAT","D","114",3,5,,
321,"8b","KAT","D","114",5,3,,
322,"8b","NEM","GE","114",2,4,,
323,"8b","STA","EK","114",1,5,,
323,"8b","STA","EK","114",3,4,,
324,"8b","GRE","M","114",2,5,,
324,"8b","GRE","M","114",3,2,,
324,"8b","GRE","M","114",5,2,,
325,"8b","HOM","CH","537",2,2,,
325,"8b","HOM","CH","537",5,1,,
326,"8b","WÖR","MU","Mu 1",4,5,,
327,"8b","ALV","KR","114",1,3,,
327,"8b","ALV","KR","114",3,3,,
328,"8b","AYM","SP","kl SpH",1,4,,
328,"8b","AYM","SP","kl SpH",3,1,,
329,"8b","SPN","E5","114",1,2,,
329,"8b","SPN","E5","114",4,2,,
329,"8b","SPN","E5","114",5,5,,
330,"8c","BEM","D","123",1,4,,
330,"8c","BEM","D","123",3,3,,
330,"8c","BEM","D","123",5,2,,
331,"8c","HLL","ER","123",2,4,,
331,"8c","HLL","ER","123",5,3,,
332,"8c","MEN","M","123",1,2,,
332,"8c","MEN","M","123",3,5,,
332,"8c","MEN","M","123",4,1,,
333,"8c","HOM","E5","123",1,3,,
333,"8c","HOM","E5","123",2,5,,
333,"8c","HOM","E5","123",4,2,,
334,"8c","KOH","SP","kl SpH",3,4,,
334,"8c","KOH","SP","kl SpH",5,5,,
335,"8c","WÖR","MU","Mu 1",3,1,,
336,"8c","JOP","GE","123",1,1,,
336,"8c","JOP","GE","123",4,5,,
337,"8c","HAN","PK","123",1,5,,
337,"8c","HAN","PK","123",2,2,,
338,"9a","EGL","D","147",1,4,,
339,"9a","NEM","E5","147",3,5,,
339,"9a","NEM","E5","147",4,2,,
339,"9a","NEM","E5","147",5,4,,
340,"9a","LIC","GE","147",3,2,,
340,"9a","LIC","GE","147",5,1,,
341,"9a","EGL","PK","147",2,4,,
341,"9a","EGL","PK","147",5,2,,
342,"9a","RIC","M","147",1,3,,
342,"9a","RIC","M","147",4,3,,
342,"9a","RIC","M","147",5,5,,
343,"9a","KLF","BI","532",2,1,,
343,"9a","KLF","BI","532",4,4,,
344,"9a","WÖR","MU","Mu 1",2,5,,
344,"9a","WÖR","MU","Mu 1",3,3,,
345,"9a","KAN","SP","kl SpH",1,5,,
345,"9a","KAN","SP","kl SpH",2,3,,
345,"9a","RHT","SP","kl SpH",1,5,,
345,"9a","RHT","SP","kl SpH",2,3,,
346,"9a","KAN","F6","147",2,2,,
346,"9a","KAN","F6","147",3,4,,
346,"9a","KAN","F6","147",5,3,,
346,"9b","KAN","F6","147",2,2,,
346,"9b","KAN","F6","147",3,4,,
346,"9b","KAN","F6","147",5,3,,
346,"9b","ALV","F6","132",2,2,,
346,"9b","ALV","F6","132",3,4,,
346,"9b","ALV","F6","132",5,3,,
346,"9c","ALV","F6","132",2,2,,
346,"9c","ALV","F6","132",3,4,,
346,"9c","ALV","F6","132",5,3,,
346,"9a","GÖB","L6","222",2,2,,
346,"9a","GÖB","L6","222",3,4,,
346,"9a","GÖB","L6","222",5,3,,
346,"9c","GÖB","L6","222",2,2,,
346,"9c","GÖB","L6","222",3,4,,
